2025-04-27 21:27:19,310 - INFO - Vehicle State Change - New state: {'throttle': 1730, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:19,474 - INFO - Vehicle State Change - New state: {'throttle': 1727, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:19,557 - INFO - Vehicle State Change - New state: {'throttle': 1722, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:19,637 - INFO - Vehicle State Change - New state: {'throttle': 1719, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:19,716 - INFO - Vehicle State Change - New state: {'throttle': 1712, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:19,799 - INFO - Vehicle State Change - New state: {'throttle': 1707, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:19,882 - INFO - Vehicle State Change - New state: {'throttle': 1706, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:19,964 - INFO - Vehicle State Change - New state: {'throttle': 1705, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,043 - INFO - Vehicle State Change - New state: {'throttle': 1701, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,126 - INFO - Vehicle State Change - New state: {'throttle': 1695, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,209 - INFO - Vehicle State Change - New state: {'throttle': 1688, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,289 - INFO - Vehicle State Change - New state: {'throttle': 1685, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,370 - INFO - Vehicle State Change - New state: {'throttle': 1679, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
2025-04-27 21:27:20,453 - INFO - Vehicle State Change - New state: {'throttle': 1676, 'front_s': 84.54656364375762, 'rear_s': 85.71777145180968, 'pan': 89.81699877999186, 'tilt': 89.81699877999186}
